Tempo (anos),Altitude (km),Velocidade (km/s),Arrasto (N)
0.0000,399.0313,7.672867,4.5374e-4
0.0192,397.7804,7.673576,5.8603e-4
0.0383,396.5085,7.674297,5.9601e-4
0.0575,395.2150,7.675030,6.0633e-4
0.0767,393.8990,7.675777,6.1702e-4
0.0958,392.5599,7.676537,6.2808e-4
0.1150,391.1967,7.677310,6.3954e-4
0.1342,389.8087,7.678098,6.5142e-4
0.1533,388.3948,7.678901,6.6374e-4
0.1725,386.9541,7.679720,6.7654e-4
0.1916,385.4855,7.680554,6.8983e-4
0.2108,383.9881,7.681406,7.0364e-4
0.2300,382.4606,7.682274,7.1801e-4
0.2491,380.9017,7.683161,7.3298e-4
0.2683,379.3103,7.684067,7.4857e-4
0.2875,377.6849,7.684992,7.6483e-4
0.3066,376.0240,7.685938,7.8180e-4
0.3258,374.3260,7.686905,7.9953e-4
0.3450,372.5893,7.687895,8.1808e-4
0.3641,370.8122,7.688908,8.3749e-4
0.3833,368.9925,7.689946,8.5783e-4
0.4025,367.1284,7.691010,8.7917e-4
0.4216,365.2175,7.692100,9.0158e-4
0.4408,363.2575,7.693220,9.2514e-4
0.4600,361.2459,7.694369,9.4995e-4
0.4791,359.1797,7.695550,9.7611e-4
0.4983,357.0561,7.696764,1.0037e-3
0.5175,354.8718,7.698014,1.0329e-3
0.5366,352.6231,7.699301,1.0638e-3
0.5558,350.3063,7.700628,1.0966e-3
0.5749,347.9171,7.701997,1.1315e-3
0.5941,344.6315,7.703881,1.5568e-3
0.6133,341.1860,7.705858,1.6338e-3
0.6324,337.5643,7.707938,1.7187e-3
0.6516,333.7477,7.710131,1.8126e-3
0.6708,329.7144,7.712452,1.9172e-3
0.6899,325.4387,7.714913,2.0343e-3
0.7091,320.8901,7.717535,2.1662e-3
0.7283,316.0320,7.720338,2.3159e-3
0.7474,310.8202,7.723348,2.4873e-3
0.7666,305.2000,7.726598,2.6853e-3
0.7858,299.1036,7.730128,2.9165e-3
0.8049,289.8515,7.735495,4.4322e-3
0.8241,279.0781,7.741759,5.1718e-3
0.8433,266.2152,7.749257,6.1899e-3
0.8624,250.3204,7.758552,7.6711e-3
0.8816,229.6746,7.770677,9.9999e-3
0.9008,184.4759,7.797419,2.1995e-2
0.9199,27.6548,7.892392,7.7104e-2
